YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W01,3819,0,0,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W02,38293,0,173,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W02,79,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W02,45068,0,198,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W02,7,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W02,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W02,83361,0,371,0,61425,AT,8901064,AT,ALL,COM,7358443
2021-W02,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W02,86,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W02,2704,0,13,0,61425,AT,8901064,AT,Age18_24,COM,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W02,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W02,1,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W02,24504,0,93,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W02,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W02,17724,0,91,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W02,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W02,6,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W02,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W02,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W02,8827,0,40,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W02,5,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W02,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W02,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W02,6,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W02,8211,0,47,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W02,68,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W02,21255,0,86,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W02,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W02,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W03,39999,0,2266,0,58500,AT,8901064,AT,1_Age60+,COM,2259262
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W03,23,0,0,0,7200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W03,52385,0,2117,0,58500,AT,8901064,AT,1_Age<60,COM,5099181
2021-W03,183,0,0,0,7200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W03,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W03,206,0,0,0,7200,AT,8901064,AT,ALL,MOD,7358443
2021-W03,92384,0,4383,0,58500,AT,8901064,AT,ALL,COM,7358443
2021-W03,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W03,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W03,3633,0,95,0,58500,AT,8901064,AT,Age18_24,COM,696064
2021-W03,23,0,0,0,7200,AT,8901064,AT,Age18_24,MOD,696064
2021-W03,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W03,108,0,0,0,7200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W03,30157,0,1156,0,58500,AT,8901064,AT,Age25_49,COM,3006228
2021-W03,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W03,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W03,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W03,52,0,0,0,7200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W03,18505,0,862,0,58500,AT,8901064,AT,Age50_59,COM,1396889
2021-W03,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W03,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W03,7087,0,452,0,58500,AT,8901064,AT,Age60_69,COM,1016016
2021-W03,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W03,7,0,0,0,7200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W03,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W03,7235,0,502,0,58500,AT,8901064,AT,Age70_79,COM,769199
2021-W03,7,0,0,0,7200,AT,8901064,AT,Age70_79,MOD,769199
2021-W03,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W03,25677,0,1312,0,58500,AT,8901064,AT,Age80+,COM,474047
2021-W03,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W03,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W03,9,0,0,0,7200,AT,8901064,AT,Age80+,MOD,474047
2021-W04,13751,0,6143,0,54990,AT,8901064,AT,1_Age60+,COM,2259262
2021-W04,1157,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W04,2667,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W04,13462,0,11056,0,54990,AT,8901064,AT,1_Age<60,COM,5099181
2021-W04,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W04,27213,0,17199,0,54990,AT,8901064,AT,ALL,COM,7358443
2021-W04,3824,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W04,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W04,1279,0,690,0,54990,AT,8901064,AT,Age18_24,COM,696064
2021-W04,104,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W04,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W04,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W04,1583,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W04,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W04,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W04,7638,0,6185,0,54990,AT,8901064,AT,Age25_49,COM,3006228
2021-W04,4524,0,4138,0,54990,AT,8901064,AT,Age50_59,COM,1396889
2021-W04,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W04,979,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W04,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W04,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W04,1677,0,1659,0,54990,AT,8901064,AT,Age60_69,COM,1016016
2021-W04,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W04,617,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W04,176,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W04,1603,0,1294,0,54990,AT,8901064,AT,Age70_79,COM,769199
2021-W04,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W04,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W04,364,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W04,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W04,10471,0,3190,0,54990,AT,8901064,AT,Age80+,COM,474047
2021-W04,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W05,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W05,0,0,0,0,36000,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W05,5275,0,32489,0,66690,AT,8901064,AT,1_Age60+,COM,2259262
2021-W05,1293,0,0,0,28800,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W05,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W05,11598,0,44994,0,66690,AT,8901064,AT,1_Age<60,COM,5099181
2021-W05,383,0,0,0,28800,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W05,0,0,1,0,36000,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W05,16873,0,77483,0,66690,AT,8901064,AT,ALL,COM,7358443
2021-W05,0,0,1,0,36000,AT,8901064,AT,ALL,AZ,7358443
2021-W05,1676,0,0,0,28800,AT,8901064,AT,ALL,MOD,7358443
2021-W05,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age18_24,AZ,696064
2021-W05,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W05,23,0,0,0,28800,AT,8901064,AT,Age18_24,MOD,696064
2021-W05,912,0,2659,0,66690,AT,8901064,AT,Age18_24,COM,696064
2021-W05,6388,0,25027,0,66690,AT,8901064,AT,Age25_49,COM,3006228
2021-W05,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W05,228,0,0,0,28800,AT,8901064,AT,Age25_49,MOD,3006228
2021-W05,0,0,1,0,36000,AT,8901064,AT,Age25_49,AZ,3006228
2021-W05,132,0,0,0,28800,AT,8901064,AT,Age50_59,MOD,1396889
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age50_59,AZ,1396889
2021-W05,4248,0,17189,0,66690,AT,8901064,AT,Age50_59,COM,1396889
2021-W05,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W05,45,0,0,0,28800,AT,8901064,AT,Age60_69,MOD,1016016
2021-W05,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age60_69,AZ,1016016
2021-W05,1590,0,7833,0,66690,AT,8901064,AT,Age60_69,COM,1016016
2021-W05,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age70_79,AZ,769199
2021-W05,1225,0,6848,0,66690,AT,8901064,AT,Age70_79,COM,769199
2021-W05,36,0,0,0,28800,AT,8901064,AT,Age70_79,MOD,769199
2021-W05,1212,0,0,0,28800,AT,8901064,AT,Age80+,MOD,474047
2021-W05,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W05,2460,0,17808,0,66690,AT,8901064,AT,Age80+,COM,474047
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age80+,AZ,474047
2021-W06,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W06,5746,0,36545,0,66690,AT,8901064,AT,1_Age60+,COM,2259262
2021-W06,1730,0,75,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W06,612,0,0,0,43200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W06,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W06,2209,0,6,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W06,7825,0,49844,0,66690,AT,8901064,AT,1_Age<60,COM,5099181
2021-W06,10052,0,0,0,43200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W06,10664,0,0,0,43200,AT,8901064,AT,ALL,AZ,7358443
2021-W06,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W06,3939,0,81,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W06,13571,0,86389,0,66690,AT,8901064,AT,ALL,COM,7358443
2021-W06,2275,0,0,0,43200,AT,8901064,AT,Age18_24,AZ,696064
2021-W06,600,0,3349,0,66690,AT,8901064,AT,Age18_24,COM,696064
2021-W06,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W06,96,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W06,4350,0,28657,0,66690,AT,8901064,AT,Age25_49,COM,3006228
2021-W06,5246,0,0,0,43200,AT,8901064,AT,Age25_49,AZ,3006228
2021-W06,1260,0,1,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W06,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W06,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W06,2513,0,0,0,43200,AT,8901064,AT,Age50_59,AZ,1396889
2021-W06,853,0,5,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W06,2831,0,17754,0,66690,AT,8901064,AT,Age50_59,COM,1396889
2021-W06,600,0,0,0,43200,AT,8901064,AT,Age60_69,AZ,1016016
2021-W06,308,0,5,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W06,1389,0,6874,0,66690,AT,8901064,AT,Age60_69,COM,1016016
2021-W06,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W06,440,0,5,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W06,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W06,1433,0,6448,0,66690,AT,8901064,AT,Age70_79,COM,769199
2021-W06,8,0,0,0,43200,AT,8901064,AT,Age70_79,AZ,769199
2021-W06,982,0,65,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W06,4,0,0,0,43200,AT,8901064,AT,Age80+,AZ,474047
2021-W06,2924,0,23223,0,66690,AT,8901064,AT,Age80+,COM,474047
2021-W06,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W07,2373,0,19,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W07,2337,0,2,0,76800,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W07,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W07,22112,0,19833,0,80730,AT,8901064,AT,1_Age60+,COM,2259262
2021-W07,4297,0,18969,0,80730,AT,8901064,AT,1_Age<60,COM,5099181
2021-W07,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W07,29977,0,1,0,76800,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W07,1531,0,177,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W07,3904,0,196,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W07,32314,0,3,0,76800,AT,8901064,AT,ALL,AZ,7358443
2021-W07,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W07,26409,0,38802,0,80730,AT,8901064,AT,ALL,COM,7358443
2021-W07,3619,0,0,0,76800,AT,8901064,AT,Age18_24,AZ,696064
2021-W07,67,0,21,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W07,278,0,1632,0,80730,AT,8901064,AT,Age18_24,COM,696064
2021-W07,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W07,809,0,107,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W07,2359,0,10595,0,80730,AT,8901064,AT,Age25_49,COM,3006228
2021-W07,17024,0,1,0,76800,AT,8901064,AT,Age25_49,AZ,3006228
2021-W07,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W07,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W07,651,0,49,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W07,9271,0,0,0,76800,AT,8901064,AT,Age50_59,AZ,1396889
2021-W07,1620,0,6712,0,80730,AT,8901064,AT,Age50_59,COM,1396889
2021-W07,2254,0,1,0,76800,AT,8901064,AT,Age60_69,AZ,1016016
2021-W07,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W07,1443,0,2732,0,80730,AT,8901064,AT,Age60_69,COM,1016016
2021-W07,510,0,6,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W07,590,0,6,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W07,70,0,1,0,76800,AT,8901064,AT,Age70_79,AZ,769199
2021-W07,2701,0,3103,0,80730,AT,8901064,AT,Age70_79,COM,769199
2021-W07,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W07,13,0,0,0,76800,AT,8901064,AT,Age80+,AZ,474047
2021-W07,1273,0,7,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W07,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W07,17968,0,13998,0,80730,AT,8901064,AT,Age80+,COM,474047
2021-W08,4650,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W08,39318,0,5484,0,84240,AT,8901064,AT,1_Age60+,COM,2259262
2021-W08,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W08,2691,0,1077,0,37200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W08,52449,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W08,4377,0,11299,0,84240,AT,8901064,AT,1_Age<60,COM,5099181
2021-W08,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W08,1784,0,2644,0,37200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W08,4475,0,3721,0,37200,AT,8901064,AT,ALL,MOD,7358443
2021-W08,57099,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W08,43695,0,16783,0,84240,AT,8901064,AT,ALL,COM,7358443
2021-W08,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W08,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W08,7227,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W08,135,0,112,0,37200,AT,8901064,AT,Age18_24,MOD,696064
2021-W08,252,0,896,0,84240,AT,8901064,AT,Age18_24,COM,696064
2021-W08,29576,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W08,835,0,1569,0,37200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W08,2282,0,6171,0,84240,AT,8901064,AT,Age25_49,COM,3006228
2021-W08,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W08,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W08,809,0,962,0,37200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W08,1801,0,4182,0,84240,AT,8901064,AT,Age50_59,COM,1396889
2021-W08,15519,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W08,4403,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W08,957,0,605,0,37200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W08,1959,0,1682,0,84240,AT,8901064,AT,Age60_69,COM,1016016
2021-W08,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W08,3670,0,1268,0,84240,AT,8901064,AT,Age70_79,COM,769199
2021-W08,226,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W08,918,0,165,0,37200,AT,8901064,AT,Age70_79,MOD,769199
2021-W08,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W08,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W08,33689,0,2534,0,84240,AT,8901064,AT,Age80+,COM,474047
2021-W08,816,0,307,0,37200,AT,8901064,AT,Age80+,MOD,474047
2021-W08,21,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W09,82964,0,5456,0,91260,AT,8901064,AT,1_Age60+,COM,2259262
2021-W09,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W09,4489,0,1215,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W09,5422,0,1,0,67200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W09,3225,0,185,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W09,48099,0,1,0,67200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W09,7283,0,7563,0,91260,AT,8901064,AT,1_Age<60,COM,5099181
2021-W09,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W09,53521,0,2,0,67200,AT,8901064,AT,ALL,AZ,7358443
2021-W09,90247,0,13019,0,91260,AT,8901064,AT,ALL,COM,7358443
2021-W09,7714,0,1400,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W09,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W09,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W09,425,0,597,0,91260,AT,8901064,AT,Age18_24,COM,696064
2021-W09,287,0,8,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W09,5329,0,0,0,67200,AT,8901064,AT,Age18_24,AZ,696064
2021-W09,1620,0,107,0,0,AT,8901064,AT,Age25_49,MOD,3006228
